x,F
0.6,0.002365464
0.634390244,0.002365464
0.668780488,0.003548196
0.703170732,0.046717918
0.737560976,0.046717918
0.77195122,0.049083383
0.806341463,0.129509166
0.840731707,0.130100532
0.875121951,0.130100532
0.909512195,0.256652868
0.943902439,0.256652868
0.978292683,0.256652868
1.012682927,0.455351863
1.047073171,0.457125961
1.081463415,0.460082791
1.115853659,0.538143111
1.150243902,0.540508575
1.184634146,0.541099941
1.21902439,0.635127144
1.253414634,0.635127144
1.287804878,0.63571851
1.322195122,0.707865169
1.356585366,0.708456535
1.39097561,0.708456535
1.425365854,0.778829095
1.459756098,0.780011827
1.494146341,0.780011827
1.528536585,0.83205204
1.562926829,0.83205204
1.597317073,0.83205204
1.631707317,0.865759905
1.666097561,0.865759905
1.700487805,0.897693672
1.734878049,0.897693672
1.769268293,0.897693672
1.803658537,0.95801301
1.83804878,0.95801301
1.872439024,0.95801301
1.906829268,0.992312241
1.941219512,0.992903607
1.975609756,0.992903607
2.01,1
